"Date","Price","Open","High","Low","Vol.","Change %"
"01/21/2025","268.30","266.30","270.95","263.20","490.25K","0.75%"
"01/20/2025","266.30","269.75","270.75","262.15","261.28K","0.34%"
"01/17/2025","265.40","263.95","267.80","258.10","397.49K","0.53%"
"01/16/2025","264.00","262.15","269.55","260.30","398.91K","1.48%"
"01/15/2025","260.15","282.80","295.85","258.10","2.31M","-7.11%"
"01/14/2025","280.05","236.00","280.05","230.30","2.42M","19.99%"
"01/13/2025","233.40","249.80","249.80","231.00","413.83K","-7.22%"
"01/10/2025","251.55","259.95","270.05","249.60","1.13M","-1.64%"
"01/09/2025","255.75","256.35","260.55","251.10","327.71K","-0.37%"
"01/08/2025","256.70","263.25","263.75","253.25","292.81K","-2.49%"
"01/07/2025","263.25","262.35","266.50","258.65","507.76K","1.50%"
"01/06/2025","259.35","280.60","281.00","257.60","848.72K","-7.92%"
"01/03/2025","281.65","280.40","282.90","275.60","434.65K","1.44%"
"01/02/2025","277.65","287.00","291.50","275.55","788.56K","-3.99%"
"01/01/2025","289.20","303.40","307.90","285.05","835.72K","-2.73%"
"12/31/2024","297.33","282.52","308.95","281.67","3.05M","5.99%"
"12/30/2024","280.52","286.55","291.50","277.50","730.02K","-1.46%"
"12/27/2024","284.67","282.80","287.00","281.20","266.87K","1.44%"
"12/26/2024","280.63","280.95","287.00","280.00","461.32K","1.38%"
"12/24/2024","276.80","280.50","287.50","275.52","279.94K","-1.23%"
"12/23/2024","280.25","277.10","282.50","270.75","294.88K","2.30%"
"12/20/2024","273.95","282.00","284.00","272.58","245.51K","-3.25%"
"12/19/2024","283.15","279.00","285.08","276.75","342.54K","0.11%"
"12/18/2024","282.85","289.50","289.50","281.10","250.25K","-2.40%"
"12/17/2024","289.80","294.88","296.67","287.38","406.52K","-1.72%"
"12/16/2024","294.88","288.48","297.23","287.80","332.99K","3.09%"
"12/13/2024","286.05","287.50","288.85","282.77","296.51K","-1.23%"
"12/12/2024","289.60","292.00","293.27","288.50","156.26K","-0.75%"
"12/11/2024","291.80","294.00","296.00","290.13","214.31K","-0.84%"
"12/10/2024","294.27","297.50","303.85","292.45","435.77K","-1.14%"
"12/09/2024","297.67","293.77","298.70","292.67","348.78K","0.95%"
"12/06/2024","294.88","291.30","299.50","288.48","747.23K","1.65%"
"12/05/2024","290.10","288.45","290.75","285.52","361.52K","0.91%"
"12/04/2024","287.48","294.42","296.30","286.33","483.93K","-1.50%"
"12/03/2024","291.85","285.70","292.50","284.98","347.88K","2.25%"
"12/02/2024","285.42","285.95","289.48","284.23","353.79K","-0.11%"
"11/29/2024","285.75","286.38","288.92","282.02","226.28K","-0.11%"
"11/28/2024","286.08","283.45","292.35","282.00","666.52K","1.91%"
"11/27/2024","280.73","272.50","283.52","265.83","1.00M","3.94%"
"11/26/2024","270.08","282.95","283.50","268.50","906.07K","-4.32%"
"11/25/2024","282.27","286.52","290.00","280.30","446.33K","-0.09%"
"11/22/2024","282.52","285.08","285.63","279.00","364.08K","-0.71%"
"11/21/2024","284.55","282.50","285.95","275.23","478.47K","0.67%"
"11/19/2024","282.65","279.67","288.75","278.38","839.88K","1.91%"
"11/18/2024","277.35","294.50","298.98","275.38","1.63M","-10.34%"
